rk,player,g,att,yds,avg,td,rec,yds_2,avg_2,td_2,plays,yds_3,avg_3,td_3,school,player_link,player_id,season
1,Derek Alston,11,160,689,4.3,1,20,144,7.2,2,180,833,4.6,3,akron,/cfb/players/derek-alston-1,derek-alston-1,1987
2,John Motton,11,95,436,4.6,3,10,90,9.0,0,105,526,5.0,3,akron,/cfb/players/john-motton-1,john-motton-1,1987
3,Andy Kubik,11,57,20,0.4,3,,,,,57,20,0.4,3,akron,/cfb/players/andy-kubik-1,andy-kubik-1,1987
4,Dwayne Shields,11,42,151,3.6,1,,,,,42,151,3.6,1,akron,/cfb/players/dwayne-shields-1,dwayne-shields-1,1987
5,Scott Rindfuss,11,32,134,4.2,0,4,52,13.0,1,36,186,5.2,1,akron,/cfb/players/scott-rindfuss-1,scott-rindfuss-1,1987
6,Benny Haddox,11,24,88,3.7,1,4,66,16.5,0,28,154,5.5,1,akron,/cfb/players/benny-haddox-1,benny-haddox-1,1987
7,Steve Brown,11,13,21,1.6,1,,,,,13,21,1.6,1,akron,/cfb/players/steve-brown-5,steve-brown-5,1987
8,Dan Hampton,11,7,22,3.1,0,2,27,13.5,0,9,49,5.4,0,akron,/cfb/players/dan-hampton-1,dan-hampton-1,1987
9,Mark Unaitis,11,7,-31,-4.4,0,,,,,7,-31,-4.4,0,akron,/cfb/players/mark-unaitis-1,mark-unaitis-1,1987
10,Ed Andrade,11,1,2,2.0,0,20,244,12.2,3,21,246,11.7,3,akron,/cfb/players/ed-andrade-1,ed-andrade-1,1987
11,Cornel Penland,11,1,-11,-11.0,0,10,199,19.9,1,11,188,17.1,1,akron,/cfb/players/cornel-penland-1,cornel-penland-1,1987
12,Kurt Latell,11,,,,,35,466,13.3,1,35,466,13.3,1,akron,/cfb/players/kurt-latell-1,kurt-latell-1,1987
13,Tracy Ellerbe,11,,,,,17,242,14.2,2,17,242,14.2,2,akron,/cfb/players/tracy-ellerbe-1,tracy-ellerbe-1,1987
14,Milt Kimbrough,11,,,,,14,245,17.5,2,14,245,17.5,2,akron,/cfb/players/milt-kimbrough-1,milt-kimbrough-1,1987
15,Bob Smith,11,,,,,12,177,14.8,0,12,177,14.8,0,akron,/cfb/players/bob-smith-2,bob-smith-2,1987
1,Doug Lewis,11,119,609,5.1,3,7,82,11.7,1,126,691,5.5,4,akron,/cfb/players/doug-lewis-1,doug-lewis-1,1988
2,Mike Johnson,11,103,262,2.5,5,,,,,103,262,2.5,5,akron,/cfb/players/mike-johnson-6,mike-johnson-6,1988
3,John Motton,10,73,360,4.9,3,9,82,9.1,0,82,442,5.4,3,akron,/cfb/players/john-motton-1,john-motton-1,1988
4,Bob Singletary,11,55,239,4.3,0,7,64,9.1,0,62,303,4.9,0,akron,/cfb/players/bob-singletary-1,bob-singletary-1,1988
5,Derek Alston,8,49,271,5.5,1,3,25,8.3,0,52,296,5.7,1,akron,/cfb/players/derek-alston-1,derek-alston-1,1988
6,Scott Rindfuss,10,25,161,6.4,1,8,172,21.5,1,33,333,10.1,2,akron,/cfb/players/scott-rindfuss-1,scott-rindfuss-1,1988
7,Jeff Williams,9,23,75,3.3,1,2,24,12.0,0,25,99,4.0,1,akron,/cfb/players/jeff-williams-3,jeff-williams-3,1988
8,Tyrone Nelson,5,10,84,8.4,0,,,,,10,84,8.4,0,akron,/cfb/players/tyrone-nelson-1,tyrone-nelson-1,1988
9,Leonard Thomas,11,4,14,3.5,0,44,654,14.9,5,48,668,13.9,5,akron,/cfb/players/leonard-thomas-1,leonard-thomas-1,1988
10,Andy Kubik,3,2,3,1.5,0,,,,,2,3,1.5,0,akron,/cfb/players/andy-kubik-1,andy-kubik-1,1988
11,Jeff Sweitzer,4,2,1,0.5,0,,,,,2,1,0.5,0,akron,/cfb/players/jeff-sweitzer-1,jeff-sweitzer-1,1988
12,Frank Kelley,1,1,2,2.0,0,,,,,1,2,2.0,0,akron,/cfb/players/frank-kelley-1,frank-kelley-1,1988
13,Brown,4,1,-14,-14.0,0,4,58,14.5,0,5,44,8.8,0,akron,/cfb/players/brown-17,brown-17,1988
14,Tracy Ellerbe,11,,,,,27,481,17.8,1,27,481,17.8,1,akron,/cfb/players/tracy-ellerbe-1,tracy-ellerbe-1,1988
15,Kurt Latell,9,,,,,21,373,17.8,1,21,373,17.8,1,akron,/cfb/players/kurt-latell-1,kurt-latell-1,1988
16,Benny Haddox,9,,,,,7,111,15.9,1,7,111,15.9,1,akron,/cfb/players/benny-haddox-1,benny-haddox-1,1988
17,Juan Howell,7,,,,,3,40,13.3,1,3,40,13.3,1,akron,/cfb/players/juan-howell-1,juan-howell-1,1988
18,Darren Johnson,2,,,,,1,13,13.0,0,1,13,13.0,0,akron,/cfb/players/darren-johnson-1,darren-johnson-1,1988
19,Roy Whitt,2,,,,,1,13,13.0,0,1,13,13.0,0,akron,/cfb/players/roy-whitt-1,roy-whitt-1,1988
20,Shawn Donaldson,5,,,,,1,10,10.0,0,1,10,10.0,0,akron,/cfb/players/shawn-donaldson-1,shawn-donaldson-1,1988
1,Doug Lewis,11,171,763,4.5,8,23,182,7.9,0,194,945,4.9,8,akron,/cfb/players/doug-lewis-1,doug-lewis-1,1989
2,Mike Johnson,11,113,398,3.5,5,,,,,113,398,3.5,5,akron,/cfb/players/mike-johnson-6,mike-johnson-6,1989
3,Derek Alston,11,110,571,5.2,2,7,37,5.3,1,117,608,5.2,3,akron,/cfb/players/derek-alston-1,derek-alston-1,1989
