season,pfr_player_name,round,pick,position,age,height_inches,weight,forty,vertical,broad_jump,shuttle,bench,cone,college,pfr_player_id,cfb_player_id
2014,Jared Abbrederis,5,176,WR,23,73,195,4.5,30.5,117,4.08,4,6.8,Wisconsin,AbbrJa00,jared-abbrederis-1
2015,Ameer Abdullah,2,54,RB,22,68,198,4.6,42.5,130,3.95,24,6.79,Nebraska,AbduAm00,ameer-abdullah-1
2005,Hamza Abdullah,7,231,DB,22,74,213,4.591181269417111,39,114,4.254555508232616,18,6.94,Washington St.,AbduHa20,hamza-abdullah-1
2003,Khalid Abdullah,5,136,LB,24,74,227,4.61,36.5,126,4.25,26,7.13,Mars Hill,AbduKh20,NA
2007,Victor Abiamiri,2,57,DE,21,76,267,4.8,31.821725662147408,112.84053840954047,4.3910466306606235,25,7.271554503879436,Notre Dame,AbiaVi99,victor-abiamiri-1
2013,Oday Aboushi,5,141,T,22,77,308,5.41,23.5,100,4.84,17,7.92,Virginia,AbouOd00,oday-aboushi-1
2000,John Abraham,1,13,DE,22,76,256,4.55,32.44982371016974,113.965701522771,4.22763801060172,21.49104678546004,7.0573875300024795,South Carolina,AbraJo00,NA
2019,Johnathan Abram,1,27,S,22,71,205,4.45,33.427741575085314,116,4.162274562578158,16.744924036128936,6.971720740451696,Mississippi St.,AbraJo01,johnathan-abram-1
2012,Emmanuel Acho,6,204,LB,21,73,238,4.64,35.5,118,4.286465113822925,24,7.1344876405981825,Texas,AchoEm00,emmanuel-acho-1
2011,Sam Acho,4,103,DE,23,73,257,4.67,33.5,112,4.32,23,6.69,Texas,AchoSa00,sam-acho-1
2003,Anthony Adams,2,57,DT,23,72,300,5.13,30.5,109,4.59,25.585740922137852,7.68,Penn St.,AdamAn20,NA
2014,Davante Adams,2,53,WR,21,73,212,4.56,39.5,123,4.3,14,6.82,Fresno St.,AdamDa01,davante-adams-1
2007,Gaines Adams,1,4,DE,24,77,258,4.64,35,119,4.36,21.67716924621812,7.17,Clemson,AdamGa99,gaines-adams-1
2017,Jamal Adams,1,6,S,21,72,214,4.56,31.5,120,4.13,18,6.96,LSU,AdamJa00,jamal-adams-1
2016,Jerell Adams,6,184,TE,23,77,244,4.64,32.5,117,4.31,20.374312020911546,7.05,South Carolina,AdamJe01,jerell-adams-1
2012,Joe Adams,4,104,WR,22,71,177,4.51,36,123,4.201492631392295,14.139209585515783,7.09,Arkansas,AdamJo01,joe-adams-1
2001,Keith Adams,7,232,LB,21,71,223,4.82,28.999179191265384,104,4.404119320265337,24,7.288687861789592,Clemson,AdamKe20,keith-adams-1
2012,Mike Adams,2,56,T,22,79,323,5.28,28.5,100,4.95,19,7.94,Ohio St.,AdamMi02,NA
2017,Montravius Adams,3,93,DT,22,76,304,4.87,29,108,4.89,22,7.62,Auburn,AdamMo00,montravius-adams-1
2017,Rodney Adams,5,170,WR,22,73,189,4.44,29.5,125,4.28,8,6.98,South Florida,AdamRo01,rodney-adams-1
2006,Titus Adams,7,220,DT,23,75,305,5.07,30.5,103,4.54,15,7.49,Nebraska,AdamTi00,titus-adams-1
2006,Joseph Addai,1,30,RB,23,71,210,4.4,38.5,125,4.47,18,7.09,LSU,AddaJo00,joseph-addai-1
2019,Nasir Adderley,2,60,S,22,72,206,4.553147801090075,34.94017056358159,118.42686236769231,4.2296955219311165,16.837985266507978,7.060084150137792,Delaware,AddeNa00,NA
2021,Paulson Adebo,3,76,CB,22,73,198,4.45,36.5,121,4.13,18,6.69,Stanford,AdebPa00,paulson-adebo-1
2020,Hakeem Adeniji,6,180,T,22,76,302,5.17,34,115,4.632891388347801,26,7.58852162521733,Kansas,AdenHa00,hakeem-adeniji-1
2006,Victor Adeyanju,4,113,DE,23,76,270,4.86,32,112,4.41,22,7.37,Indiana,AdeyVi20,victor-adeyanju-1
2008,Xavier Adibi,4,118,LB,23,74,220,4.69,30,110,4.47,18.140842491814556,7.375032546731205,Virginia Tech,AdibXa99,xavier-adibi-1
2015,Nelson Agholor,1,20,WR,22,73,190,4.42,35.94492879283194,120.22676749528654,4.14266552817109,12,6.946020703586461,USC,AghoNe00,nelson-agholor-1
2020,McTelvin Agim,3,95,DT,22,75,309,4.98,29.332372046662464,108.38115683249228,4.508700837103035,27,7.4257547250708456,Arkansas,AgimMc00,mctelvin-agim-1
2016,Roberto Aguayo,2,59,K,22,72,207,4.96,34.8830707410341,118.32457481194409,4.495628147498322,16.93104649688702,7.408621367160688,Florida St.,AguaRo00,roberto-aguayo-1
