cfbref_id,pfr_id,av,season,pick,age,height_inches,weight,forty,vertical,broad_jump,shuttle,bench,cone,g,att,rush_att,srs,sos,off_plus,yards_plus,cmp_plus,td_plus,int_plus,rush_yards_plus,rush_tds_plus,predicted_av
aaron-brooks-1,BrooAa00,52.000000,1999,131,23,76,220,4.590000,35.50000,118.0000,4.290000,18.14084,7.139121,34, 651,199,  9.67352941, 3.28617647,108.78667,  444.627692,  4.75884278,  1.52720565,  0.63309566, -242.928996,  6.122156742,19.6602426
aaron-murray-1,MurrAa00, 0.000000,2014,163,23,72,207,4.840000,34.88307,118.3246,4.417192,16.93105,7.305821,52,1478,286, 11.99942308, 4.48384615,121.15221, 2442.405292, 31.65095375, 43.78064640, -2.08043849, -886.348371,  2.874583259,20.4836103
aaron-rodgers-1,RodgAa00,35.000000,2005, 24,21,74,223,4.710000,34.50000,110.0000,4.332220,18.42003,7.380000,25, 665,160, 15.26440000, 5.31160000,130.49350,  738.558760, 45.18229673, 10.76572149, -9.02380982, -326.254382,  1.429164209,33.4751043
akili-smith-1,SmitAk00, 2.000000,1999,  3,24,75,220,4.700000,34.00000,111.0000,4.290000,18.14084,7.139121,23, 571,171, 10.47434783, 5.15391304,139.28460, 1025.673942, 13.49816141, 17.27010501, -5.47700118, -310.718935, -0.748429050, 7.2347295
alex-brink-1,BrinAl00, 0.000000,2008,223,23,74,211,4.960000,28.00000,112.0000,4.190000,17.30329,7.220000,46,1451,246,  2.96978261, 4.60282609,103.15117,  704.349733,  0.52568854,  4.92924255, -4.54120070, -928.110469, -5.188207715, 2.8302525
alex-smith-3,SmitAl03,14.000000,2005,  1,21,76,212,4.710000,32.00000,113.0000,3.960000,17.39635,6.820000,25, 587,286, 14.67080000, 0.07600000,136.39524, 1031.173679, 54.67613512, 18.51387611,-11.43791463, -111.806926,  3.255734919,32.4172714
alex-van-pelt-1,VanPAl00, 2.000000,1993,216,23,73,220,4.970000,30.50000,110.4728,4.502164,18.14084,7.417188,45,1463,107,  1.21111111, 2.56266667,101.13628,  729.237015, 61.68559450,  2.02328882, -3.69708412, -521.342105,  1.982481696,18.6228729
andre-ware-1,WareAn00, 5.000000,1990,  7,22,74,205,4.547714,35.17959,118.8558,4.226144,16.74492,7.055430,27,1074,120, 13.22518519, 0.91148148,177.68999,  679.532287, 85.29663890, 30.46930677,-20.54358537, -621.308345,  1.422375624,27.0925716
andre-woodson-1,WoodAn00, 0.000000,2008,198,24,76,229,4.850000,33.99152,116.7275,4.423728,18.97839,7.314388,44,1278,232,  1.33090909, 4.47795455,100.78117,  370.688207, 42.49152161, 16.23490565,-16.88503704,-1458.958786, -4.645748732, 8.0711570
andrew-luck-1,LuckAn00,64.000000,2012,  1,22,76,240,4.590000,36.00000,124.0000,4.280000,20.00207,6.800000,38,1064,163, 16.97631579, 3.85789474,143.97014, 1756.519997, 75.42237534, 27.44494219, -9.95922806,  236.881219, -0.384216652,45.6886977
andrew-walter-1,WaltAn00, 1.000000,2005, 69,23,78,230,4.860000,34.11674,116.9518,4.430265,19.07145,7.322955,48,1416,175,  5.14229167, 4.51250000,112.93991,  608.756419,-21.48540391, 16.57580373,-11.65751311,-1196.462102, -7.295598328, 8.8365740
andy-dalton-1,DaltAn00,61.000000,2011, 35,23,74,215,4.830000,29.50000,106.0000,4.270000,17.67554,6.930000,50,1317,413, 13.22300000,-1.40940000,127.43774,  979.379857, 30.64565888,  4.89217983,-11.42127547, -191.166273,  3.521440130,15.2304681
anthony-dilweg-1,DilwAn00, 4.000000,1989, 74,24,75,215,4.780000,28.00000,102.0000,4.370000,17.67554,7.243970,44, 594, 77, -2.03750000,-0.31500000, 99.65618,  447.172337, 27.31110635,  3.00041947, -2.97824286, -480.890340, -0.936862466, 4.1433572
bailey-zappe-1,ZappBa00,16.233660,2022,137,23,73,215,4.880000,30.00000,109.0000,4.400000,17.67554,7.190000,14, 686, 51,  8.39000000,-2.61000000,156.23471,  777.698003, 51.95464985, 24.76122076, -6.59796022, -211.614395,  0.672632525, 2.9543161
baker-mayfield-1,MayfBa00,51.000000,2018,  1,23,73,215,4.840000,29.00000,111.0000,4.280000,17.67554,7.000000,48,1497,404, 15.33166667, 4.14708333,146.51390, 3605.489406,138.75267262, 52.13324647,-12.06077667, -788.309301,  2.069676081,32.8797066
ben-roethlisberger-1,RoetBe00,59.000000,2004, 11,22,77,240,4.750000,33.45458,115.7656,4.358365,20.00207,7.228721,38,1304,269,  4.94157895,-2.58578947,128.02804, 1613.288711,122.44066078, 21.22079789,-10.54133285, -856.944011, -4.338079884,33.7101850
bill-musgrave-1,MusgBi00, 0.000000,1991,106,23,74,199,4.980000,30.50000,106.0000,4.270000,16.18656,7.112908,39,1104,168,  7.63538462, 3.43589744,111.46224,  623.162707, 43.50017208, 13.78836346, -9.34439120, -870.158125, -2.418206806, 2.3627645
