player_id,season,av
AikmTr00,1989,54
AingEr00,2008,NA
AlleBr00,2016,4
AlleJo02,2018,74
AndeDe00,2005,14
AustKe20,1986,NA
BankTo00,1996,38
BarkMa00,2013,2
BarnPa20,1997,NA
BarrDa20,1995,0
BatcCh00,1998,31
BeatC,2017,NA
BeckJo00,2007,4
BellKe00,1988,NA
BennBe20,1984,0
BeueSt00,1987,15
BishMi00,1999,0
BlacTo00,1983,10
BlakJe00,1992,37
BledDr00,1993,57
BlunMa00,1992,0
BollBr00,2003,6
BollKy00,2003,18
BomaRh00,2009,NA
BonoSt00,1985,2
BookIa00,2021,3.8144195326242114
BortBl00,2014,48
BoydTa00,2014,NA
BradCr20,1980,NA
BradSa00,2010,28
BradSt20,1986,0
BradTo00,2000,52
BranTo00,2009,0
BreeDr00,2001,49
BrenCo00,2008,NA
BridTe00,2014,23
BrinAl00,2008,NA
BrisBu00,1986,27
BrisJa00,2016,23
BrohBr00,2008,0
BrooAa00,1999,52
BrowLe00,2010,0
BrunMa00,1993,40
BrunSc00,1980,16
BuckMi00,1990,1
BulgMa00,2000,30
BurrJo01,2020,64.37836621642111
CampJa00,2005,36
CampRi00,1981,2
CampSc00,1984,6
CanfSe00,2010,NA
CarlCo00,1987,5
CarlJe00,1989,2
CarrDa00,2002,46
CarrDe02,2014,51
CartQu00,2001,17
CaseSt00,1995,2
CassMa00,2005,25
ChanCh00,1988,25
CherMi00,1997,NA
ChriJe20,1983,2
ClarBr22,1982,NA
ClauJi00,2010,1
ClemCh21,1997,NA
ClemKe00,2006,3
ColeB,2012,NA
CollKe00,1995,28
CollRe20,1983,1
CollTo00,1995,9
ConkCa00,1990,1
CookCo00,2016,0
CorrMa00,2022,NA
CoucTi00,1999,33
CousKi00,2012,31
CoviSc00,1999,0
CromJo00,2010,NA
CroyBr00,2006,2
CulpDa00,1999,64
CunnRa00,1985,54
CutlJa00,2006,52
DaltAn00,2011,61
DaniB,2013,NA
DarnSa00,2018,27
DaveRo01,2002,0
DaviNa00,2009,NA
DetmKo00,1997,1
DetmTy00,1992,10
DilfTr00,1994,37
DilwAn00,1989,4
DiNuBe00,2020,3.326967871717124
DixoDe00,2008,2
DobbJo00,2017,0
DorsKe00,2003,1
DougBr00,2016,NA
DrisJe00,2016,6
DrucJi00,1997,1
DyseZa00,2013,NA
EasoJa00,2020,1.7203521258038608
EasoTo00,1983,34
EdwaTr01,2007,17
EhliSa00,2021,8.310429840364954
ElkiMi00,1989,0
ElwaJo00,1983,55
EndeNa00,2011,NA
EricCr00,1992,NA
EricCr00,1991,NA
EsiaBo00,1984,61
EtliDa00,2018,NA
EverJi00,1986,54
FaleDa00,2014,1
FalkLu00,2018,1
FasaRa00,2002,1
FavrBr00,1991,60
FeelA,2001,NA
FielJu00,2021,53.270532917772385
FinlRy00,2019,2.914725053745655
FitzRy00,2005,8
FlacJo00,2008,62
FlicTo00,1981,0
FlutDo00,1985,7
FlynMa00,2008,3
FoleGl00,1994,7
FoleNi00,2012,24
FranJe20,1989,0
FreeJo00,2009,39
FrerGu00,1994,34
FrieJo00,1990,18
FromJa00,2020,3.326967871717124
FryeCh00,2005,8
FurrWi00,1992,1
GabbBl00,2011,13
GaglBo00,1981,0
GannRi00,1987,18
GaroJi00,2014,10
GarrDa00,2002,18
GarzSa20,1987,1
GaynDo20,1986,0
GelbSt00,1986,0
GeorJe00,1990,33
GermJo00,1999,1
GilbGa01,2014,0
GlenMi00,2013,13
GoffJa00,2016,53
GradBr00,2006,8
GrahKe00,1992,8
GrayGa00,2015,NA
GrazTo00,1997,3
GrbaEl00,1993,20
GreeTr00,1993,0
GreiCh00,1999,0
GrieBr00,1998,44
GrieWi00,2019,1.6792390276169955
GrifRo01,2012,35
GrosRe00,2003,16
HackCh01,2016,NA
HallAn00,2004,NA
HamdGi00,2003,0
HamiJo20,2000,0
HarbJi00,1987,30
HarnCh00,2012,NA
HarrJo00,2002,28
HaskDw00,2019,5.385697106002974
HassMa00,1998,18
HennCh01,2008,21
HensDr00,2003,0
HerbJu00,2020,74.0180606919007
HerrMa00,1981,9
HilgRu00,1985,5
HippEr00,1980,24
HobeBi00,1993,5
HodsTo00,1990,4
HogaKe00,2016,2
HogeGa00,1980,5
HollBo00,1982,1
HollDo00,1991,3
HostJe00,1984,1
HoweSa00,2022,12.38991416104181
HoyiBo00,1996,2
HuarBr00,1999,2
HudsDo20,1987,0
HumpSt00,1988,14
HundBr00,2015,5
HurtJa00,2020,67.59159770824765
HusaTo20,2000,0
JackJa01,2000,0
JackLa00,2018,74
JackTa00,2006,14
JohnBr00,1992,8
JohnJo05,2008,4
JohnRo00,1995,8
JoneCa01,2016,0
JoneDa05,2019,49.8631940466347
JoneLa02,2013,4
JoneMa05,2021,53.270532917772385
JustPa00,1991,1
KaayBr00,2017,NA
KaepCo00,2011,40
KafkMi00,2010,0
KaneDa00,1996,13
KellCh00,2017,NA
KellJe21,2002,NA
KellJi00,1983,21
KellMi21,1982,NA
KessCo00,2016,5
KielBl00,1984,2
KingKl00,2003,0
KingSh00,1999,18
KittKu00,2002,1
KizeDe00,2017,6
KleiPe20,1994,0
KlinDa00,1992,11
KoflMa00,1982,4
KolbKe00,2007,10
KrenCr00,2004,1
KubiGa00,1983,4
KuppCr20,1990,0
LancTr00,2021,12.806440148105697
LaufBa00,1983,0
LaulKy00,2018,0
LawrTr00,2021,51.022527763902005
LeafRy00,1998,1
LeexTa00,2018,NA
LeFeDa00,2010,NA
LeftBy00,2003,33
LeinMa00,2006,12
LewiJe01,1996,2
LindRy00,2012,-4
LiscRu00,1980,2
LockDr00,2019,15.269585315032248
LockJa00,2011,16
LomaNe00,1981,51
LongCh00,1986,11
LosmJ,2004,NA
LoveJo03,2020,6.54019936354365
LuckAn00,2012,64
LuckOl00,1982,6
LuthEd00,1980,7
LutoJa00,2020,4.9335836176303864
LyncPa00,2016,2
MachMi00,1982,1
MackKy00,1984,3
MaddTo00,1992,2
MahoPa00,2017,75
MajkDo00,1987,36
MallRy00,2011,4
MaloMa00,1980,11
MannEl00,2004,48
MannPe00,1998,76
MannSe00,2015,1
ManuEJ00,2013,11
ManzJo00,2014,4
MariDa00,1983,77
MariMa01,2015,48
MariTo00,1991,3
MartIn00,2006,NA
MartTe00,2000,0
MathBr00,1983,6
MattSt00,1994,1
MaucMa00,2004,1
MayfBa00,2018,51
MayxDe20,1984,0
McCaA,2014,NA
McClBr20,1986,1
McCoCo00,2010,12
McCoJo01,2002,15
McCoLu00,2004,6
McDoCo00,2020,NA
McDoPa00,1980,16
McElGr00,2011,1
McGeSt00,2009,2
McGoAl00,2018,NA
McGwDa00,1991,2
McIvRi20,1984,0
McMaJi00,1982,37
McMaMi00,2001,6
