pos,year,age,av,player_id,g,gs
QB,1980,23,0,WilsMa00,2,0
QB,1981,24,5,WilsMa00,13,9
QB,1982,25,0,WilsMa00,8,0
QB,1983,26,4,WilsMa00,10,3
QB,1984,27,7,WilsMa00,16,10
QB,1985,28,8,WilsMa00,16,13
QB,1986,29,5,WilsMa00,16,8
QB,1987,30,8,WilsMa00,15,7
QB,1989,32,3,WilsMa00,14,4
QB,1990,33,1,WilsMa00,16,6
QB,1980,22,0,MaloMa00,1,0
QB,1981,23,3,MaloMa00,8,3
QB,1983,25,0,MaloMa00,2,0
QB,1984,26,8,MaloMa00,13,9
QB,1985,27,5,MaloMa00,10,8
QB,1986,28,8,MaloMa00,14,14
QB,1987,29,3,MaloMa00,12,12
QB,1988,30,3,MaloMa00,12,8
QB,1989,31,0,MaloMa00,1,0
QB,1980,23,0,HippEr00,15,0
QB,1981,24,10,HippEr00,16,10
QB,1982,25,3,HippEr00,9,4
QB,1983,26,10,HippEr00,16,16
QB,1984,27,1,HippEr00,8,1
QB,1985,28,11,HippEr00,16,15
QB,1986,29,6,HippEr00,16,10
QB,1988,31,0,HippEr00,5,0
QB,1989,32,0,HippEr00,1,1
QB,1980,24,0,LiscRu00,2,0
QB,1981,25,0,LiscRu00,9,1
QB,1982,26,0,LiscRu00,8,0
QB,1983,27,0,LiscRu00,4,0
QB,1984,28,2,LiscRu00,7,1
QB,1980,23,0,LuthEd00,5,0
QB,1981,24,0,LuthEd00,16,0
QB,1982,25,0,LuthEd00,9,0
QB,1983,26,3,LuthEd00,16,6
QB,1984,27,4,LuthEd00,15,3
QB,1980,22,0,McDoPa00,15,0
QB,1981,23,1,McDoPa00,12,0
QB,1982,24,4,McDoPa00,9,3
QB,1983,25,1,McDoPa00,16,2
QB,1984,26,10,McDoPa00,16,16
QB,1985,27,0,McDoPa00,16,0
QB,1986,28,0,McDoPa00,1,0
QB,1980,22,0,HogeGa00,2,0
QB,1981,23,0,HogeGa00,1,0
QB,1982,24,0,HogeGa00,4,0
QB,1983,25,0,HogeGa00,6,0
QB,1984,26,5,HogeGa00,16,10
QB,1985,27,3,HogeGa00,16,2
QB,1986,28,2,HogeGa00,5,5
QB,1987,29,4,HogeGa00,6,6
QB,1988,30,4,HogeGa00,9,1
QB,1989,31,6,HogeGa00,14,13
QB,1980,23,2,BrunSc00,16,3
QB,1981,24,-1,BrunSc00,16,6
QB,1982,25,11,BrunSc00,9,9
QB,1983,26,4,BrunSc00,16,12
QB,1985,28,1,BrunSc00,16,0
QB,1980,22,5,WoodDa00,13,11
