Rk,Player,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,school,player_link,player_id,season
1,Rich Mayo,10,108,238,45.4,1168,4.9,2.1,7,18,81.2,air-force,/cfb/players/rich-mayo-1,rich-mayo-1,1960
2,Jerry Thies,10,1,3,33.3,0,0,-15,0,1,-33.3,air-force,/cfb/players/jerry-thies-1,jerry-thies-1,1960
3,Jim Hinkle,10,2,2,100,65,32.5,42.5,1,0,538,air-force,/cfb/players/jim-hinkle-1,jim-hinkle-1,1960
4,Willie Parma,10,0,1,0,0,0,0,0,0,0,air-force,/cfb/players/willie-parma-1,willie-parma-1,1960
1,Bob McNaughton,10,38,81,46.9,415,5.1,2,1,6,79.2,air-force,/cfb/players/bob-mcnaughton-1,bob-mcnaughton-1,1961
2,Allan McArtor,10,20,44,45.5,217,4.9,0.8,0,4,68.7,air-force,/cfb/players/allan-mcartor-1,allan-mcartor-1,1961
3,Joe Rodwell,10,7,26,26.9,87,3.3,1.6,0,1,47.3,air-force,/cfb/players/joe-rodwell-1,joe-rodwell-1,1961
4,Terry Isaacson,10,2,7,28.6,70,10,6.4,1,1,131.1,air-force,/cfb/players/terry-isaacson-1,terry-isaacson-1,1961
5,Darryl Bloodworth,10,2,3,66.7,41,13.7,20.3,1,0,291.5,air-force,/cfb/players/darryl-bloodworth-1,darryl-bloodworth-1,1961
6,Jerry Thies,10,0,1,0,0,0,-45,0,1,-200,air-force,/cfb/players/jerry-thies-1,jerry-thies-1,1961
7,Wilson Parma,10,0,1,0,0,0,0,0,0,0,air-force,/cfb/players/wilson-parma-1,wilson-parma-1,1961
1,Terry Isaacson,10,52,120,43.3,591,4.9,2.1,3,9,78,air-force,/cfb/players/terry-isaacson-1,terry-isaacson-1,1962
2,Dave Backus,10,10,21,47.6,135,6.4,4.3,0,1,92.1,air-force,/cfb/players/dave-backus-1,dave-backus-1,1962
3,Allan McArtor,10,6,10,60,75,7.5,9.5,1,0,156,air-force,/cfb/players/allan-mcartor-1,allan-mcartor-1,1962
1,Terry Isaacson,10,68,147,46.3,946,6.4,4.1,5,10,97.9,air-force,/cfb/players/terry-isaacson-1,terry-isaacson-1,1963
