cfbref_id,pfr_id,av,predicted_av,comp_1,comp_2,comp_3
aaron-brooks-1,BrooAa00,52,14.627821257433501,jim-druckenmiller-1,rex-grossman-1,scott-mitchell-2
aaron-rodgers-1,RodgAa00,16,20.692528415108423,jay-cutler-1,matt-schaub-1,deshaun-watson-1
akili-smith-1,SmitAk00,2,15.475905470070915,will-furrer-1,chad-henne-1,ryan-mallett-1
alex-smith-3,SmitAl03,7,20.823905039499483,nick-foles-1,john-beck-1,derek-carr-1
alex-van-pelt-1,VanPAl00,2,16.258575858087504,matt-mauck-1,ej-manuel-1,randy-fasani-1
andre-ware-1,WareAn00,5,13.165530901957467,craig-erickson-1,colt-mccoy-1,kelly-stouffer-1
andrew-luck-1,LuckAn00,48,17.889143506407684,kirk-cousins-1,jonathan-quinn-1,cade-mcnown-1
andrew-walter-1,WaltAn00,1,18.62855778093284,will-grier-1,eli-manning-1,tj-rubley-1
andy-dalton-1,DaltAn00,48,16.82381254093385,anthony-dilweg-1,kerry-collins-1,kevin-hogan-2
anthony-dilweg-1,DilwAn00,4,14.034676024281415,tom-brady-1,patrick-ramsey-1,vinny-testaverde-1
baker-mayfield-1,MayfBa00,45,17.65108290559131,andy-dalton-1,kevin-hogan-2,kerry-collins-1
ben-roethlisberger-1,RoetBe00,48,15.080659933126876,brad-johnson-2,bucky-richardson-1,sammy-garza-1
billy-joe-hobert-1,HobeBi00,5,19.49265396755451,marcus-mariota-1,joe-germaine-1,gus-frerotte-1
billy-joe-tolliver-1,TollBi00,15,14.227134294219843,todd-marinovich-1,patrick-ramsey-1,luke-mccown-1
blaine-gabbert-1,GabbBl00,8,18.87070476740172,jonathan-quinn-1,tommy-hodson-1,brock-huard-1
blake-bortles-1,BortBl00,42,20.700054754627423,paul-justin-1,jonathan-quinn-1,drew-brees-1
bobby-hoying-1,HoyiBo00,2,11.632627786532607,glenn-foley-1,derek-anderson-1,dave-ragone-1
brad-johnson-2,JohnBr00,19,13.907814309211963,matt-barkley-1,mark-brunell-1,brian-griese-1
brady-quinn-1,QuinBr00,2,17.731578935021783,ben-roethlisberger-1,drew-brees-1,sammy-garza-1
brandon-weeden-1,WeedBr00,14,17.085363779861872,chris-simms-1,joey-harrington-1,matt-leinart-1
brett-favre-1,FavrBr00,42,16.04050616888945,tommy-hodson-1,matt-flynn-1,kurt-kittner-1
brett-hundley-1,HundBr00,5,16.020627431121472,rob-johnson-1,derek-carr-1,ty-detmer-1
brian-griese-1,GrieBr00,33,14.464244624993809,brodie-croyle-1,todd-collins-1,colt-mccoy-1
brock-huard-1,HuarBr00,2,15.350460703764604,tj-rubley-1,ken-dorsey-1,casey-weldon-1
brock-osweiler-1,OsweBr00,5,19.795761236116736,tommy-hodson-1,ben-roethlisberger-1,matt-schaub-1
brodie-croyle-1,CroyBr00,2,13.59016762215658,vinny-testaverde-1,tim-tebow-1,david-carr-1
browning-nagle-1,NaglBr00,5,16.05223769096509,brian-griese-1,elvis-grbac-1,ej-manuel-1
bruce-gradkowski-1,GradBr00,6,19.73050115113801,philip-rivers-1,troy-aikman-1,kerry-collins-1
bryce-petty-1,PettBr01,4,15.873249147798232,rex-grossman-1,joe-germaine-1,jim-druckenmiller-1
bucky-richardson-1,RichBu00,3,17.13962944968422,tyrod-taylor-1,curtis-painter-1,mark-vlasic-1
byron-leftwich-1,LeftBy00,32,18.659773612092597,ben-roethlisberger-1,sammy-garza-1,dwayne-haskins-1
cade-mcnown-1,McNoCa00,8,18.965471067623024,drew-bledsoe-1,seneca-wallace-1,baker-mayfield-1
cam-newton-1,NewtCa00,63,18.18770465266885,danny-wuerffel-1,andrew-luck-1,jonathan-quinn-1
carson-palmer-1,PalmCa00,52,15.616567704635022,jared-goff-1,elvis-grbac-1,browning-nagle-1
