pos,av,g,gs,player_id
WR,18,53,28,JoneLa00
TE,14,56,45,MillJu00
WR,31,53,47,MonkAr00
TE,8,44,43,MarsDo00
WR,27,55,42,HousKe00
WR,8,38,23,FrieMi00
TE,12,53,42,BramMa00
WR,10,45,16,SmitTi01
WR,18,52,48,ButlRa00
WR,3,39,6,PittDa00
,1,31,NA,BailEl20
WR,1,31,0,BailEl20
,0,32,2,CombCh20
TE,0,32,2,CombCh20
WR,23,46,25,CarsCa00
,0,6,NA,GarcBu20
WR,0,6,0,GarcBu20
WR,21,57,42,BarnMa01
TE,12,57,0,RoseJo00
,5,20,9,BailHa00
WR,5,20,9,BailHa00
WR,7,44,9,CartGe00
WR,12,39,16,FarmGe00
WR,9,52,13,SeayVi00
WR,2,35,2,GreeTe00
WR,13,45,17,MuhaCa00
,2,22,3,FishBo00
TE,2,22,3,FishBo00
TE,6,56,35,ScotWi00
WR,16,50,24,NichMa00
,1,25,9,YounDa00
TE,1,25,9,YounDa00
TE,2,44,4,LewiGa00
WR,44,54,53,CollCr00
WR,11,57,21,FranBy00
WR,7,43,10,DonlDo00
WR,7,45,9,MistJo00
WR,12,56,27,MargKe00
TE,14,49,41,BrenHo00
,3,20,2,MoslMi00
WR,3,20,2,MoslMi00
WR,10,57,12,HolsMi00
TE,6,57,25,LaFlGr00
TE,7,56,32,SherTi00
WR,11,52,19,PortTr00
TE,15,55,32,SievEr00
WR,3,32,1,HoovMe00
WR,16,51,9,DuckBo00
WR,7,33,4,JohnRo01
,1,13,NA,BattRo20
TE,1,13,0,BattRo20
,2,25,NA,ToleKe20
WR,2,25,0,ToleKe20
TE,8,47,7,HoloPe00
WR,32,46,35,BrowCh00
TE,9,52,32,DawsLi00
WR,10,50,7,WilsMi00
TE,3,44,20,FolsSt00
,0,3,NA,SmitHo20
WR,0,3,0,SmitHo20
FB,0,22,0,JensJi00
WR,2,32,2,JensJi00
TE,2,56,8,BarnBu00
TE,9,51,18,DidiCl00
WR,11,55,8,HancAn00
WR,9,49,22,ScotLi00
WR,4,29,4,TuttPe00
WR,31,55,45,QuicMi00
TE,1,35,5,SampLa20
WR,34,43,35,DupeMa00
WR,7,47,18,JoneCe00
,7,32,3,WrigTi00
TE,7,32,3,WrigTi00
WR,20,50,41,BailSt00
WR,15,54,30,GoodEu00
TE,9,50,27,BellJe00
TE,4,50,21,MetzPe00
TE,4,52,20,KabxVy00
TE,7,57,18,HolmRo00
RB,1,40,0,GentDe00
WR,3,16,0,GentDe00
WR,4,41,10,BryaSt00
,0,14,1,WillMi21
TE,0,14,1,WillMi21
TE,7,57,35,BeacPa00
TE,11,59,34,JohnDa02
TE,13,52,33,JordSt00
,0,15,1,CoomTo20
TE,0,15,1,CoomTo20
,5,23,7,WoodTo00
WR,5,23,7,WoodTo00
FB,0,5,0,KlevRo00
TE,3,48,19,KlevRo00
,0,11,NA,McGiEd20
TE,0,11,0,McGiEd20
WR,18,57,21,EppsPh00
TE,3,48,14,RubiRo00
TE,12,47,22,HuntTo00
WR,30,64,60,GaulWi00
WR,24,53,40,EllaHe00
WR,8,47,17,CapeWa00
WR,10,59,10,SampCl00
TE,10,49,48,WillJa00
TE,5,58,23,TiceJo00
TE,6,64,30,DresCh00
WR,13,61,22,StarSt00
TE,2,48,7,McClMi00
LB,0,2,0,JunkTr20
LB/LS,0,14,0,JunkTr20
LS,0,28,0,JunkTr20
,1,19,NA,MillMi20
WR,1,16,0,MillMi20
,2,27,1,DunsPa00
TE,2,27,1,DunsPa00
,0,25,NA,FaulCh20
TE,0,17,0,FaulCh20
,1,23,NA,CastCh20
WR,1,23,0,CastCh20
,1,22,7,ScotMa00
TE,1,19,4,ScotMa00
WR,6,50,0,SkanPa00
,5,33,6,GranOt00
WR,5,33,6,GranOt00
WR,22,63,33,WillDo00
WR,3,35,3,GarrGr00
WR,11,55,16,JohnTr02
,0,19,1,StraTi20
TE,0,19,1,StraTi20
,1,9,NA,OatiVi20
WR,1,9,0,OatiVi20
WR,7,38,7,AlleAn00
WR,18,64,30,JoneMi00
WR,5,38,15,WallHe00
,1,10,NA,BelkRo20
WR,1,10,0,BelkRo20
WR,43,60,45,ClayMa00
TE,4,50,7,MulaMi00
,1,10,5,KeelMa20
TE,2,20,10,KeelMa20
,8,37,5,WillBy00
WR,8,37,5,WillBy00
WR,29,55,36,FernMe00
TE,0,51,5,WittMa20
,1,3,NA,KearTi21
WR,1,3,0,KearTi21
,4,14,3,WillOl20
WR,4,14,3,WillOl20
,3,27,5,DawkJu00
WR,3,27,5,DawkJu00
,0,37,3,MattAl00
RB,0,22,1,MattAl00
TE,0,15,2,MattAl00
WR,36,56,52,CartAn00
WR,23,56,42,FryaIr00
WR,16,55,51,JackKe01
TE,7,47,31,LewiDa01
WR,30,47,38,LippLo00
,2,34,19,DennGl00
TE,1,18,10,DennGl00
,1,30,2,RichEr00
WR,1,30,2,RichEr00
WR,12,59,12,MandPe00
WR,18,59,40,TurnDa00
,1,7,3,KoloCh20
TE,1,7,3,KoloCh20
TE,6,59,16,FranJo00
,1,30,2,CornFr22
TE,1,30,2,CornFr22
,2,21,1,BrooMi00
WR,2,21,1,BrooMi00
WR,25,56,16,BrenBr00
WR,9,60,14,ThomWe00
TE,0,50,0,ParkAn00
TE,2,50,36,BensCl00
,0,44,1,GoodJo20
TE,0,30,1,GoodJo20
,0,25,NA,KernDo20
TE,0,25,0,KernDo20
,1,16,1,CollDw00
WR,1,16,1,CollDw00
,1,13,1,MullEr20
WR,1,13,1,MullEr20
,0,48,2,CarrJa20
TE,0,32,2,CarrJa20
WR,19,44,33,ManuLi00
,3,35,2,BendJe00
WR,3,35,2,BendJe00
TE,10,57,53,KayxCl00
,1,42,1,WillDe00
WR,1,42,1,WillDe00
TE,1,59,13,GrigBi00
,1,27,3,AndeBr20
WR,1,27,3,AndeBr20
,3,26,3,MichBo00
TE,3,26,3,MichBo00
WR,4,35,6,HarpMi00
,0,14,NA,WhitCr20
WR,0,14,0,WhitCr20
TE,0,49,3,JoneAn21
,2,8,4,TaylLe21
WR,1,5,2,TaylLe21
WR,3,54,2,HolmDo00
,0,2,NA,ThomCu20
WR,0,2,0,ThomCu20
WR,40,58,50,ToonAl00
WR,42,60,60,BrowEd00
RB,4,20,2,HortEt00
TE,5,32,15,HortEt00
WR,53,60,47,RiceJe00
WR,12,55,21,HestJe00
WR,25,55,38,JohnVa00
TE,5,60,20,HayeJo00
WR,19,53,31,BurkCh00
WR,6,32,14,RobiSt00
,1,13,NA,ScotCh22
WR,1,11,0,ScotCh22
,3,32,2,MoffTi00
WR,3,32,2,MoffTi00
WR,26,58,56,ReedAn00
WR,14,60,9,HarrEm00
TE,29,60,58,BavaMa00
TE,2,32,2,DunnKD00
WR,4,14,3,TealJi00
TE,0,36,4,LewiMa21
TE,8,47,5,NovaJa00
WR,4,51,2,YounMi00
TE,6,49,36,JohnDa01
,1,23,13,LeexDa20
TE,1,18,13,LeexDa20
,0,20,1,AkiuMi20
WR,0,20,1,AkiuMi20
,0,9,NA,HarbJa20
WR,0,9,0,HarbJa20
WR,16,60,46,LangRe00
,2,16,1,PoweKa20
WR,2,16,1,PoweKa20
WR,31,63,50,MartEr00
WR,2,15,4,PattMa00
WR,10,39,10,BankFr00
,0,9,NA,SharDa20
TE,0,9,0,SharDa20
WR,0,25,0,TaskSt00
RB,1,16,7,BoyeMa00
TE,4,23,19,BoyeMa00
WR,3,16,7,BoyeMa00
,4,15,2,WateMi20
TE,2,10,2,WateMi20
TE,3,58,6,OrrxTe00
,0,3,2,JoneJo22
TE,0,3,2,JoneJo22
,0,36,2,TuckTr20
TE,0,36,2,TuckTr20
TE,3,55,37,WhisKe00
TE,0,51,2,LexBHa00
WR,11,39,6,SherMi00
WR,28,59,38,McGeTi00
WR,36,58,58,GiviEr00
WR,29,52,52,SlauWe00
,4,19,3,MurrWa00
WR,4,19,3,MurrWa00
WR,26,53,34,TaylJo00
,3,21,4,WillDa00
WR,2,18,2,WillDa00
WR,33,60,56,BrooBi00
,7,35,14,EdwaKe00
WR,7,35,14,EdwaKe00
,0,4,3,FoxxCh20
WR,0,4,3,FoxxCh20
TE,4,47,2,KattEr00
WR,8,41,1,PruiJa00
,0,15,1,ParkJe23
TE,0,15,1,ParkJe23
WR,21,60,34,JoneHa00
TE,14,47,32,JoneBr00
,0,3,NA,BrowRo23
WR,0,3,0,BrowRo23
TE,1,49,14,ChanTh00
TE,9,52,21,MoblOr00
WR,15,58,43,DixoFl00
,2,3,NA,PardCu20
WR,2,3,0,PardCu20
,5,40,4,MillSo00
WR,3,24,2,MillSo00
,1,12,NA,WillKe01
WR,1,12,0,WillKe01
WR,23,56,32,JackMa00
,0,1,NA,RediCo20
WR,0,1,0,RediCo20
TE,0,36,1,HiltCa00
TE,0,60,2,RollBu00
TE,4,36,0,BosoCa00
TE,5,34,7,BatyGr00
,0,1,1,BynuRe20
WR,0,1,1,BynuRe20
,0,3,NA,SmitWi22
TE,0,3,0,SmitWi22
WR,5,46,3,KozlGl00
WR,18,43,21,JeffHa00
WR,17,50,17,NattRi00
WR,11,48,21,IngrMa00
WR,18,55,28,HillLo00
WR,19,59,37,MorrRo00
WR,29,58,52,CarrMa00
TE,13,57,40,AwalRo00
,4,27,6,LockCh00
WR,4,27,6,LockCh00
,4,12,3,NealFr20
WR,4,12,3,NealFr20
WR,17,59,28,BakeSt00
TE,12,57,48,HallRo00
WR,17,50,34,MartKe00
TE,2,51,1,RiggJi20
WR,22,51,44,HillBr00
WR,8,28,16,TurnOd00
,2,16,NA,GayxEv00
WR,2,16,0,GayxEv00
,0,13,NA,TaylGe20
WR,0,13,0,TaylGe20
,2,25,1,BellMa00
WR,2,25,1,BellMa00
TE,2,56,10,TennDe00
,1,30,5,HarrWi00
TE,1,30,5,HarrWi00
,1,9,1,JoneRo00
TE,1,9,1,JoneRo00
TE,7,29,15,McKeKe01
WR,4,16,7,McKeKe01
WR,2,21,3,ClinJo20
WR,18,58,17,DuncCu00
WR,20,50,31,ClarRo00
WR,2,29,6,ClarLo00
,1,3,2,WilsTe20
WR,1,3,2,WilsTe20
,3,24,3,ScotPa00
WR,3,24,3,ScotPa00
,0,3,2,PerrMa20
TE,0,3,2,PerrMa20
,0,7,NA,NichCa20
WR,0,7,0,NichCa20
,0,3,1,BrowLa21
WR,0,3,1,BrowLa21
,5,26,9,LeexGa00
WR,5,26,9,LeexGa00
,0,12,1,YounTh20
TE,0,12,1,YounTh20
WR,18,49,11,BrowTi00
WR,32,48,48,SharSt00
WR/WR,5,16,16,SharSt00
WR,29,48,39,IrviMi00
TE,26,60,57,JackKe00
WR,33,61,59,MillAn00
WR,13,61,24,CoxxAa00
WR,22,60,35,DaviWe00
TE,3,63,23,CartPa00
WR,27,60,36,AndeFl00
WR,31,64,53,BladBr00
WR,17,61,30,PerrBr00
,0,3,NA,HigdAl20
TE,0,3,0,HigdAl20
WR,12,51,29,EarlQu00
,1,34,2,FordBe00
WR,1,24,1,FordBe00
TE,13,56,52,EdmuFe00
WR,16,46,26,KaneTo00
TE,11,64,57,ThorJa00
TE,2,44,5,ScalGr00
,0,28,3,VerhCh20
TE,0,28,3,VerhCh20
WR,7,51,10,ThomGe00
,0,14,3,JohnSt21
TE,0,14,3,JohnSt21
WR,22,57,43,HaynMi00
TE,0,41,1,KellPa21
WR,23,62,33,JoneEr00
,2,39,4,BeckBr00
TE,1,24,2,BeckBr00
,1,27,9,WhitDa00
TE,1,27,9,WhitDa00
TE,5,64,32,RobeAl00
,3,22,2,AlexMi00
WR,3,19,1,AlexMi00
,2,17,12,NeubKe00
TE,2,17,12,NeubKe00
,0,36,2,HinnMi20
TE,0,36,2,HinnMi20
,1,9,9,TyleRo00
TE,1,9,9,TyleRo00
WR,23,58,27,BirdJJ00
,0,8,NA,CraiPa20
WR,0,8,0,CraiPa20
,1,24,NA,MillJa00
WR,1,24,0,MillJa00
,3,34,2,PillFr00
WR,3,34,2,PillFr00
,0,6,NA,ParkCa20
WR,0,6,0,ParkCa20
,0,4,NA,BoltSc20
WR,0,4,0,BoltSc20
LS,0,50,0,KincBr00
,9,26,16,DykeHa00
WR,9,26,16,DykeHa00
WR,39,63,56,RisoAn00
WR,11,45,25,CollSh00
,1,7,1,FordJo20
WR,1,7,1,FordJo20
TE,0,5,0,TillLa00
WR,7,32,10,TillLa00
,2,30,2,PeebDa00
WR,2,30,2,PeebDa00
TE,1,63,48,ReevWa00
Missed season - Injured (shoulder),NA,NA,NA,WallWe00
TE,0,47,0,WallWe00
,8,32,20,HillDe00
WR,8,32,20,HillDe00
TE,10,64,47,CookMa00
WR,17,49,19,BeebDo00
WR,5,39,4,TimpMi00
TE,5,60,24,McNeTr00
TE,0,36,2,IngrDa00
,1,4,NA,AffhEr00
WR,1,4,0,AffhEr00
WR,4,41,3,BarbMi00
TE,4,49,27,JennKe00
,1,20,NA,JoinVe20
WR,1,20,0,JoinVe20
WR,11,58,2,QuerJe00
WR,17,60,8,MartTo00
WR,13,54,25,ThomRo01
TE,0,46,5,SadoTr00
TE,9,64,44,CrosHo00
WR,16,47,7,TurnFl00
,2,20,2,SmitKe00
WR,2,20,2,SmitKe00
TE,4,35,23,GreePa00
,1,42,20,MrosBo00
TE,1,42,20,MrosBo00
