cfbref_id,pfr_id,av,predicted_av,comp_1,comp_2,comp_3
aaron-burbridge-1,BurbAa00,1,15.755459097351645,herman-moore-1,kelvin-benjamin-1,muhsin-muhammad-1
aaron-cox-1,CoxxAa00,13,13.437971145279242,everett-gay-1,quincy-morgan-1,james-jones-3
aaron-dobson-1,DobsAa00,6,14.524774943061505,golden-tate-1,andre-rison-1,chris-doering-1
ace-sanders-1,SandAc00,3,12.295743151904867,jarius-wright-1,derek-hagan-1,ron-johnson-1
adrian-arrington-1,ArriAd00,1,13.499238206504552,jeremy-maclin-1,jeff-campbell-1,charles-davenport-1
albert-connell-1,ConnAl00,23,13.902485414246506,tommy-kane-1,rishard-matthews-1,lawyer-tillman-1
aldrick-robinson-1,RobiAl00,5,14.746504470505549,golden-tate-1,aaron-dobson-1,peter-warrick-1
alex-van-dyke-1,VanDAl00,2,11.918181131937372,wesley-carroll-2,charles-e-johnson-1,kendal-smith-1
alexander-wright-1,WrigAl00,6,12.040025785991002,andre-caldwell-1,tony-jones-5,devard-darling-1
allen-robinson-1,RobiAl02,20,13.74762280481287,keary-colbert-1,chris-givens-2,reggie-wayne-1
alshon-jeffery-1,JeffAl00,32,13.830709865392885,michael-jackson-1,josh-morgan-2,robert-ferguson-1
alvin-harper-1,HarpAl00,32,11.637340475158117,corey-fuller-2,pat-newman-1,michael-jenkins-1
alvis-whitted-1,WhitAl00,3,14.520279807472326,jamison-crowder-1,larry-fitzgerald-1,chad-johnson-1
amani-toomer-1,ToomAm00,17,13.345831552243782,matt-jones-1,darnell-mcdonald-1,peerless-price-1
amara-darboh-1,DarbAm00,1,14.040039402052196,robert-woods-1,michael-timpson-1,sean-dawkins-2
amari-cooper-1,CoopAm00,33,13.865055497047729,jeremy-kerley-1,peerless-price-1,david-anderson-1
andre-caldwell-1,CaldAn00,11,13.768848566438418,sam-aiken-1,amara-darboh-1,mark-bradley-1
andre-davis-1,DaviAn01,15,12.45556429505066,alexander-wright-1,quinton-patton-1,deandre-hopkins-1
andre-hastings-1,HastAn00,16,15.121548234273282,isaac-bruce-1,courtland-sutton-1,wane-mcgarity-1
andre-johnson-1,JohnAn02,37,12.915358537305535,terrance-williams-2,marquise-goodwin-1,rico-smith-1
andre-king-1,KingAn00,2,12.892147491342154,erik-affholter-1,ryan-grant-2,jamison-crowder-1
andre-rison-1,RisoAn00,39,14.690360075166526,josh-reed-1,ernie-jones-3,courtney-taylor-1
andy-isabella-1,IsabAn00,4,13.442200806392409,golden-tate-1,aaron-dobson-1,mike-thomas-9
anquan-boldin-1,BoldAn00,36,12.785530298362998,jerry-porter-1,derrick-mason-1,michael-gallup-1
anthony-gonzalez-1,GonzAn00,16,14.223833559739326,brian-blades-1,taywan-taylor-1,jeremy-maclin-1
