cfbref_id,pfr_id,av,predicted_av,comp_1,comp_2,comp_3
aaron-craver-1,CravAa00,4,15.472168679198218,larry-johnson-1,jonathan-linton-1,mario-bates-1
aaron-hayden-1,HaydAa00,5,15.947981706630232,rod-bernstine-1,felix-jones-1,quentin-griffin-1
aaron-jones-6,JoneAa00,35,19.335894215934843,domanick-davis-1,willis-mcgahee-1,jahvid-best-1
adimchinobe-echemandu-1,EcheAd00,1,16.148471983478238,cameron-artis-payne-1,scott-lockwood-1,robert-drummond-1
adrian-murrell-1,MurrAd00,18,15.613990393943757,bernard-pierce-1,lorenzo-white-1,curtis-martin-2
adrian-peterson-1,PeteAd01,52,14.030388168386247,mario-bates-1,nick-bell-1,larry-johnson-1
ahmad-bradshaw-1,BradAh00,21,16.74301592192877,leroy-thompson-1,dexter-carter-1,leshon-johnson-1
ahman-green-1,GreeAh00,34,17.895280729248526,corey-dillon-1,warren-williams-1,marshall-faulk-1
alex-collins-1,CollAl00,15,11.189505703686015,darnell-autry-1,artose-pinner-1,ryan-williams-2
alex-green-2,GreeAl00,5,13.91591583553282,lamont-warren-1,eddie-hunter-1,ricky-williams-4
alfred-blue-1,BlueAl00,14,15.335073528366078,steve-slaton-1,scott-lockwood-1,david-cobb-1
alfred-morris-1,MorrAl00,30,14.070751744971671,ladainian-tomlinson-1,paul-perkins-1,deangelo-williams-1
allen-bradford-1,BradAl00,2,8.736431929431403,jonathan-wells-1,deshaun-foster-1,ryan-moats-1
alonzo-highsmith-3,HighAl00,1,13.019517886011817,rod-bernstine-1,bo-scarbrough-1,ray-rice-1
alvin-blount-1,BlouAl20,1,16.87558302140636,greg-jones-1,robert-delpino-1,bishop-sankey-1
alvin-kamara-1,KamaAl00,56,12.80320108128255,chris-brown-1,mario-bates-1,aaron-craver-1
alvin-pearman-1,PearAl00,5,15.839964473127136,david-wilson-1,errict-rhett-1,james-jackson-1
ameer-abdullah-1,AbduAm00,11,22.263816541635826,thurman-thomas-1,reuben-droughns-1,christian-mccaffrey-1
amos-zereoue-1,ZereAm00,14,14.885954055152519,theo-riddick-1,thurman-thomas-1,thomas-jones-1
amp-lee-1,LeexAm00,19,12.093140342731518,toby-gerhart-1,leeland-mcelroy-1,william-green-1
andre-brown-1,BrowAn03,4,12.189469008788816,curvin-richards-1,giovani-bernard-1,daniel-thomas-1
andre-ellington-1,ElliAn00,16,13.224252415054188,harold-green-1,tyrone-wheatley-1,javon-ringer-1
andre-williams-2,WillAn00,7,14.216800290973435,domanick-davis-1,robert-edwards-1,jordan-howard-1
anthony-allen-1,AlleAn01,1,12.85447696423924,doug-chapman-1,knile-davis-1,shane-vereen-1
anthony-dixon-1,DixoAn00,3,15.399719541449906,julius-jones-1,greg-lewis-2,robert-edwards-1
anthony-johnson-5,JohnAn00,7,15.973437382382265,craig-heyward-2,ronald-jones-4,jamal-lewis-2
anthony-thomas-2,ThomAn01,23,10.644818608645318,sedrick-irvin-1,james-conner-1,julius-jones-1
anthony-thompson-1,ThomAn00,6,10.515762700450987,lendale-white-1,lorenzo-booker-1,julius-jones-1
antonio-pittman-1,PittAn00,1,15.325817364996734,montee-ball-1,bilal-powell-1,jonathan-linton-1
antowain-smith-1,SmitAn00,21,13.894519828707736,sherman-williams-2,tyrone-wheatley-1,saquon-barkley-1
artose-pinner-1,PinnAr00,8,14.665761284890742,duke-johnson-1,harold-green-1,devonta-freeman-1
autry-denson-1,DensAu00,3,14.399964211506902,julius-jones-1,amos-zereoue-1,kalen-ballage-1
bam-morris-1,MorrBa00,24,11.95019718773608,craig-taylor-1,dwayne-wright-1,doug-martin-1
barry-foster-1,FostBa00,29,11.925490363676563,ryan-moats-1,jonathan-wells-1,mike-james-1
barry-sanders-1,SandBa00,57,17.405049373894624,kevin-smith-1,laurence-maroney-1,keith-henderson-2
ben-tate-1,TateBe00,15,14.074076901748699,domanick-davis-1,cedric-houston-1,jordan-howard-1
bernard-pierce-1,PierBe00,10,16.4825842153924,ronnie-brown-1,leroy-thompson-1,jeremy-langford-1
bilal-powell-1,PoweBi00,9,16.38589000402191,adrian-murrell-1,lorenzo-white-1,tony-jordan-1
bishop-sankey-1,SankBi00,6,15.800642360998369,paul-palmer-2,mark-walton-1,antonio-pittman-1
blair-thomas-1,ThomBl00,19,23.09624443772587,curtis-martin-2,robert-delpino-1,eddie-george-1
bo-jackson-1,JackBo00,14,11.463273991282351,brandon-jackson-2,tshimanga-biakabutuka-1,leonard-fournette-1
bo-scarbrough-1,ScarBo01,2,21.85911440856686,alfred-blue-1,aaron-craver-1,alvin-kamara-1
bob-perryman-1,PerrBo00,2,15.91278075788178,rex-burkhead-1,rod-bernstine-1,gary-brown-3
brad-muster-1,MustBr00,4,9.234228898758845,lendale-white-1,ernie-thompson-1,greg-lewis-2
brandon-jackson-2,JackBr00,17,14.265451159713114,lamont-jordan-1,mark-ingram-1,ryan-torain-1
brent-fullwood-1,FullBr00,3,13.434385386813343,bo-jackson-1,byron-hanspard-1,eddie-hunter-1
brian-calhoun-1,CalhBr00,1,15.258466385261894,lamar-smith-2,derrius-guice-1,jamaal-charles-1
brian-hill-4,HillBr02,3,14.822040752401225,jonathan-williams-2,kevin-jones-3,mark-walton-1
brian-leonard-1,LeonBr00,3,9.600036542516998,leveon-bell-1,alvin-pearman-1,david-wilson-1
byron-hanspard-1,HansBy00,8,19.591190858406872,lars-tate-1,duce-staley-1,matt-jones-3
calvin-jones-3,JoneCa00,1,11.444358518848034,eddie-hunter-1,brent-fullwood-1,michael-bennett-1
cameron-artis-payne-1,ArtiCa00,5,12.893191562215323,javon-ringer-1,jordan-todman-1,james-davis-1
carlos-hyde-1,HydeCa00,20,10.77612153286253,scott-lockwood-1,adimchinobe-echemandu-1,robert-drummond-1
carnell-williams-1,WillCa02,18,15.746473355877114,tashard-choice-1,steven-jackson-3,joseph-randle-1
cecil-collins-1,CollCe00,3,17.819872679544787,ezekiel-elliott-1,brent-fullwood-1,charles-way-1
cedric-benson-1,BensCe00,15,14.221409835713862,roy-helu-jr-1,chris-ogbonnaya-1,montario-hardesty-1
cedric-houston-1,HousCe00,5,12.701066214089355,james-jackson-1,errict-rhett-1,skip-hicks-1
cedric-peerman-1,PeerCe00,3,7.056241729319071,joe-montgomery-1,ben-tate-1,ryan-williams-2
charles-sims-1,SimsCh00,14,11.221071460685378,delone-carter-1,edwin-baker-1,peyton-hillis-1
charles-way-1,WayxCh00,1,17.953870910478148,bob-perryman-1,leonard-russell-1,rex-burkhead-1
charlie-garner-1,GarnCh00,12,18.513930773255236,johnny-johnson-2,jerome-harrison-1,corey-dillon-1
chester-taylor-1,TaylCh01,16,9.753964896349975,garrett-wolfe-1,kalen-ballage-1,eric-ball-1
chris-brown-1,BrowCh03,20,20.847949609783964,terrence-flagler-1,eddie-george-1,olandis-gary-1
chris-carson-1,CarsCh00,29,21.09819873524939,alvin-kamara-1,brandon-jackson-2,jamaal-charles-1
chris-fuamatu-maafala-1,FuamCh00,7,13.705842564235619,napoleon-kaufman-1,donnell-bennett-1,rodney-culver-1
chris-henry-1,HenrCh01,1,4.858463446375671,james-stewart-4,kadeem-carey-1,christine-michael-1
chris-howard-3,HowaCh00,1,15.364575295065057,steve-slaton-1,david-cobb-1,isaiah-pead-1
chris-johnson-1,JohnCh04,50,12.03706118100269,sammy-morris-1,ben-tate-1,marvin-allen-1
chris-mclemore-1,McLeCh20,2,6.415833817352545,steve-slaton-1,carlos-hyde-1,chris-howard-3
chris-ogbonnaya-1,OgboCh00,6,11.190179492533392,ciatrick-fason-1,isaiah-pead-1,deshaun-foster-1
chris-perry-1,PerrCh00,9,11.734110770127227,julius-jones-1,derrius-guice-1,warrick-dunn-1
chris-rainey-1,RainCh00,1,14.88463983540044,kendall-hunter-1,jerome-bettis-1,troy-stradford-1
chris-thompson-1,ThomCh03,8,16.15743615897734,jerome-harrison-1,kareem-hunt-1,michael-turner-2
chris-warren-2,WarrCh00,15,14.025930690236208,tiki-barber-1,derek-brown-2,tony-jordan-1
chris-wells-1,WellCh00,15,15.041635590621478,jonathan-linton-1,darren-lewis-1,antonio-pittman-1
christian-mccaffrey-1,McCaCh01,43,16.21502914045617,byron-hanspard-1,antonio-pittman-1,ronnie-hillman-1
christine-michael-1,MichCh00,4,19.560768309916934,thurman-thomas-1,derrius-guice-1,jay-ajayi-1
chuck-levy-1,LevyCh00,3,12.914849923524109,gary-brown-3,kolby-smith-1,shawn-bryson-1
ciatrick-fason-1,FasoCi00,1,20.69736994422971,robert-delpino-1,trung-canidate-1,reggie-bush-1
cleveland-gary-1,GaryCl00,21,11.219299396930355,eddie-lacy-1,chris-ogbonnaya-1,carlos-hyde-1
clinton-portis-1,PortCl00,51,8.855945989621404,jalen-parmele-1,lars-tate-1,jamal-anderson-1
corey-dillon-1,DillCo00,39,16.598359355100108,michael-bennett-1,ricky-ervins-1,lee-suggs-1
correll-buckhalter-1,BuckCo00,18,15.663138630617206,michael-turner-2,laurence-maroney-1,mario-bates-1
craig-heyward-2,HeywCr00,2,13.088432372918383,vick-ballard-1,napoleon-kaufman-1,chris-fuamatu-maafala-1
craig-taylor-1,TaylCr00,5,12.48258442445418,james-stewart-3,musa-smith-1,shaun-alexander-1
curtis-enis-1,EnisCu00,9,11.178272665303682,dwayne-wright-1,bam-morris-1,stepfan-taylor-1
curtis-martin-2,MartCu00,50,15.461105789726744,lorenzo-white-1,bilal-powell-1,tony-jordan-1
curvin-richards-1,RichCu00,2,21.2363009606596,blair-thomas-1,kareem-hunt-1,bilal-powell-1
cyrus-gray-1,GrayCy00,1,10.330986725389337,theo-riddick-1,sedrick-shaw-1,ickey-woods-1
dalvin-cook-1,CookDa01,38,9.252555758830551,tre-mason-1,michael-turner-2,garrett-wolfe-1
dan-herron-1,HerrDa00,5,14.435476700413243,steven-jackson-3,dana-wright-1,joseph-randle-1
dana-wright-1,WrigDa20,1,16.480086465355875,tommie-agee-1,tim-worley-1,fred-taylor-2
daniel-thomas-1,ThomDa03,12,11.142180511471931,scott-lockwood-1,cedric-houston-1,frank-gore-1
darel-scott-1,ScotDa01,1,12.145638633282182,rondell-mealey-1,joseph-randle-1,jordan-wilkins-1
darnell-autry-1,AutrDa00,7,15.189033551244577,sean-bennett-1,dion-lewis-1,leshon-johnson-1
darrell-thompson-1,ThomDa01,13,10.554021042847948,lorenzo-booker-1,pat-chaffey-1,alex-collins-1
darren-lewis-1,LewiDa00,5,8.825595417321646,darrell-thompson-1,tracy-johnson-1,bam-morris-1
