pos,av,g,gs,player_id
RB,57,52,50,SimsBi00
RB,32,54,42,DickCu00
FB,19,41,32,CoopEa00
TE,2,16,0,CoopEa00
RB,11,33,21,FergVa00
Missed season - Injured (ankle),NA,NA,NA,WhitCh00
RB,13,39,24,WhitCh00
RB,46,54,53,CribJo00
FB,17,40,35,SuheMa00
RB,1,16,1,SuheMa00
FB,5,9,8,HarrPe00
RB,4,33,6,HarrPe00
RB,7,49,4,ThomJe01
FB,6,16,15,HadnJa00
RB,7,27,7,HadnJa00
RB,3,46,0,JoneJa01
FB,15,31,30,ParrRi00
RB,2,15,2,ParrRi00
,1,16,NA,PascDo00
RB,1,16,0,PascDo00
,1,19,NA,LewiKe21
RB,1,19,0,LewiKe21
,0,4,NA,HarrLa20
RB,0,4,0,HarrLa20
FB,11,25,22,GumaMi00
RB,8,32,4,GumaMi00
RB,8,56,1,NewsTi00
,3,29,5,HeatLa00
RB,3,29,5,HeatLa00
,0,8,NA,BattBo20
RB,0,8,0,BattBo20
FB,23,40,37,ElliGe00
FB/RB,10,15,14,ElliGe00
RB,1,56,0,WonsOt00
,0,6,1,HarrSa20
RB,0,6,1,HarrSa20
RB,14,55,21,PollFr00
,2,32,3,SimsMa00
FB,2,32,3,SimsMa00
RB,31,51,49,RogeGe00
RB,34,41,36,McNeFr00
FB,24,57,57,McMiRa00
,4,14,NA,OverDa00
RB,4,14,0,OverDa00
RB,26,53,19,BrooJa00
FB,5,46,32,MoorBo00
RB,1,5,0,MoorBo00
FB,3,28,11,BarbMa00
RB,1,14,1,BarbMa00
FB,14,57,17,HughDa01
FB,24,35,35,WildJa00
RB,17,16,16,WildJa00
,17,23,17,DelaJo00
RB,17,23,17,DelaJo00
RB,29,57,41,CollTo01
FB,18,40,32,FranAn00
RB,1,2,2,FranAn00
,1,6,3,ChatCl20
RB,1,6,3,ChatCl20
,1,21,1,LawrAm20
RB,1,21,1,LawrAm20
,1,8,NA,MurrCa20
RB,1,8,0,MurrCa20
,1,11,3,JackLo00
RB,1,11,3,JackLo00
FB,4,9,7,JackBi00
RB,10,48,24,JackBi00
RB,4,54,7,LaneEr00
,3,18,NA,TyleTo00
RB,3,18,0,TyleTo00
RB,16,56,3,MitcSt00
RB,10,57,8,RiddRo00
FB,15,36,32,GajaHo00
RB,1,9,4,GajaHo00
FB,12,45,41,OlivHu00
RB,0,1,0,OlivHu00
RB,11,54,2,HawkFr00
RB,0,52,0,WillCh00
RB,25,53,32,NelsDa00
RB,35,54,30,RiggGe00
RB,62,57,56,AlleMa00
RB,20,51,36,AberWa00
RB,10,52,2,ReddBa00
RB,23,56,46,WoolBu00
RB,17,48,7,WillGe00
RB,6,39,6,WeatRo00
RB,18,52,24,MorrJo00
RB,6,31,0,RodgDe00
FB,1,7,4,EdwaSt00
RB,5,43,2,EdwaSt00
FB,4,11,8,CrutDw00
FB/RB,4,13,8,CrutDw00
RB,1,8,0,CrutDw00
RB,2,37,4,WillVa00
,1,13,3,BrowRe20
RB,1,13,3,BrowRe20
,2,28,8,TateRo01
RB,2,28,8,TateRo01
FB,7,27,18,FerrEa00
RB,0,25,0,FerrEa00
FB,2,16,6,MeadMi00
RB,1,33,1,MeadMi00
,0,6,NA,ThomDe22
RB,0,6,0,ThomDe22
RB,26,52,42,WindSa00
,1,9,NA,DianRi00
RB,1,9,0,DianRi00
,2,38,NA,WillNe20
RB,1,22,0,WillNe20
,1,3,NA,WillVi00
RB,1,3,0,WillVi00
,0,8,NA,CowaLa20
RB,0,16,0,CowaLa20
RB,0,32,0,PeopGe20
,6,25,4,CrafDo00
RB,6,25,4,CrafDo00
,2,24,NA,PortRi00
RB,2,24,0,PortRi00
RB,54,62,62,DickEr00
RB,39,49,49,WarnCu00
FB,7,32,24,HaddMi00
RB,6,28,8,HaddMi00
FB,35,60,59,JoneJa00
RB,31,54,38,AndeGa00
FB,51,64,60,CraiRo00
RB,21,50,13,HectJo00
RB,4,55,1,AustCl00
,5,34,11,WillMi01
RB,5,34,11,WillMi01
FB,5,31,20,MoriLa00
RB,8,29,14,MoriLa00
FB,17,44,24,KinnLa00
RB,1,16,0,KinnLa00
RB,6,57,7,MoorAl00
FB,15,29,26,JameCr00
RB,6,17,7,JameCr00
FB,11,27,24,ClarJe00
RB,6,21,1,ClarJe00
RB,24,46,5,BryaKe00
FB,8,13,13,JackEa00
RB,22,44,25,JackEa00
,0,17,NA,RickLa20
RB,0,17,0,RickLa20
Missed season - Violation of league substance abuse policy,NA,NA,NA,WilsSt00
RB,7,21,5,WilsSt00
,0,33,NA,HutcAn20
RB,0,33,0,HutcAn20
RB,14,58,19,GreeBo00
FB,10,42,34,SpenTi00
RB,1,16,1,SpenTi00
,1,16,5,TuggJo20
FB,1,16,5,TuggJo20
FB/RB,7,16,15,BellGr00
RB,15,26,24,BellGr00
RB,19,59,34,HearHe00
RB,12,59,9,JennSt00
FB,15,54,38,AndeAl00
,2,12,1,NealSp00
RB,2,12,1,NealSp00
,0,3,NA,McCaJo20
RB,0,3,0,McCaJo20
,0,13,NA,FarlJo20
RB,0,13,0,FarlJo20
RB,0,17,1,SmitJi23
RB,11,57,15,WonsGe00
,0,16,2,DAddDa20
RB,0,16,2,DAddDa20
,0,4,NA,GuntMi20
RB,0,4,0,GuntMi20
,6,30,2,CartJo00
RB,6,30,2,CartJo00
,1,10,1,HardAn00
RB,1,10,1,HardAn00
RB,21,39,10,JameLi00
WR,5,12,11,JameLi00
,0,21,2,GranNo20
RB,0,18,1,GranNo20
FB,6,14,8,RiceAl00
RB,5,40,3,RiceAl00
,2,3,3,BeveDw20
RB,2,3,3,BeveDw20
FB,4,32,16,PaigTo00
RB,1,21,2,PaigTo00
,0,10,NA,JoynWi20
RB,0,10,0,JoynWi20
,2,19,2,BrewCh00
RB,1,16,1,BrewCh00
,14,46,9,ErenRi00
RB,14,46,9,ErenRi00
,5,39,5,HarmDe00
RB,5,39,5,HarmDe00
RB,6,52,2,MorrRa00
RB,12,57,5,GrifKe00
RB,31,51,35,ByneEa00
RB,6,39,5,McGeBu00
FB,4,12,8,LangGe00
RB,7,43,4,LangGe00
,1,15,1,VealEl00
RB,1,15,1,VealEl00
,1,13,NA,JordDo20
RB,1,13,0,JordDo20
,0,14,NA,GillSc20
RB,0,14,0,GillSc20
FB,3,12,7,AdamGe00
RB,9,46,1,AdamGe00
RB,16,50,7,SeweSt00
RB,26,60,34,HampLo00
,0,16,NA,AlleGr21
RB,0,9,0,AlleGr21
,4,32,1,GillOw20
RB,4,32,1,GillOw20
,2,22,11,MoorRi00
FB,2,11,8,MoorRi00
RB,0,11,3,MoorRi00
RB,2,60,6,WolfRo00
RB,46,60,50,WalkHe00
,0,2,NA,McInJo20
RB,0,2,0,McInJo20
FB,1,16,6,KingBr00
RB,0,18,2,KingBr00
